"gene_symbols"	"SRR10446596"	"SRR10446599"	"SRR10446602"	"SRR10446605"	"SRR10446608"	"SRR10446611"
"ENSG00000159339"	"PADI4"	3	13	5	3	2	1
"ENSG00000261781"	"LINC01654"	6	2	6	4	0	9
"ENSG00000158315"	"RHBDL2"	66	118	137	36	43	110
"ENSG00000186973"	"CFAP144"	0	0	0	1	0	0
"ENSG00000146463"	"ZMYM4"	434	843	1177	293	450	686
"ENSG00000142686"	"C1orf216"	370	1032	558	357	364	276
"ENSG00000224751"	"NA"	13	24	23	13	34	15
"ENSG00000117148"	"ACTL8"	1	0	2	0	0	0
"ENSG00000230585"	"NA"	32	52	44	46	55	20
"ENSG00000117000"	"RLF"	708	1087	1910	426	701	949
"ENSG00000284989"	"NA"	0	0	0	0	0	0
"ENSG00000231630"	"NA"	0	0	0	0	0	0
"ENSG00000092853"	"CLSPN"	18	68	62	82	81	33
"ENSG00000255811"	"NA"	6	10	2	10	5	8
"ENSG00000134697"	"GNL2"	171	204	289	137	144	179
"ENSG00000187513"	"GJA4"	33	91	61	62	57	31
"ENSG00000225671"	"NA"	0	0	3	0	0	6
"ENSG00000116151"	"MORN1"	122	180	193	257	316	212
"ENSG00000006555"	"TTC22"	5	21	30	38	22	13
"ENSG00000236111"	"RPL6P1"	0	0	0	0	0	0
"ENSG00000214114"	"MYCBP"	69	161	256	23	71	137
"ENSG00000116544"	"DLGAP3"	390	594	488	1198	718	532
"ENSG00000236723"	"NA"	0	1	4	1	0	0
"ENSG00000232467"	"NA"	11	1	13	0	0	3
"ENSG00000117016"	"RIMS3"	896	2517	2348	1149	1488	955
"ENSG00000163866"	"SMIM12"	205	385	438	263	364	266
"ENSG00000237130"	"NA"	2	1	4	0	0	1
"ENSG00000232335"	"NA"	0	0	0	0	0	0
"ENSG00000232762"	"NA"	16	11	5	17	14	25
"ENSG00000162384"	"CZIB"	100	185	250	94	160	146
"ENSG00000162391"	"FAM151A"	15	52	7	16	28	11
"ENSG00000117859"	"OSBPL9"	372	658	965	264	557	737
"ENSG00000162396"	"PARS2"	7	11	27	7	12	10
"ENSG00000284686"	"NA"	0	0	3	1	0	3
"ENSG00000162378"	"ZYG11B"	468	1166	1211	174	232	320
"ENSG00000259818"	"CZIB-DT"	5	10	12	4	2	9
"ENSG00000234318"	"NA"	0	2	1	0	0	0
"ENSG00000227485"	"NA"	0	0	0	0	0	0
"ENSG00000236646"	"NA"	0	1	3	0	0	0
"ENSG00000243725"	"TTC4"	7	17	33	19	10	15
"ENSG00000171872"	"KLF17"	1	1	3	0	3	0
"ENSG00000162407"	"PLPP3"	14	17	62	14	15	5
"ENSG00000163877"	"SNIP1"	47	99	189	40	67	73
"ENSG00000228929"	"RPS13P2"	10	19	32	2	6	9
"ENSG00000224570"	"NA"	1	23	13	1	8	7
"ENSG00000224980"	"RPL23AP85"	0	0	1	0	0	0
"ENSG00000278967"	"NA"	26	33	78	7	23	30
"ENSG00000157184"	"CPT2"	28	91	180	12	45	104
"ENSG00000198815"	"FOXJ3"	841	1251	1608	384	869	835
"ENSG00000134744"	"TUT4"	1027	1661	3429	548	1025	1243
"ENSG00000233910"	"GTF2F2P2"	0	2	23	0	4	2
"ENSG00000287703"	"NA"	0	10	5	0	7	0
"ENSG00000283039"	"KLF18"	0	1	0	0	0	0
"ENSG00000229294"	"NA"	31	40	79	9	31	31
"ENSG00000236973"	"GAPDHP51"	8	11	13	9	11	10
"ENSG00000277397"	"NA"	0	0	5	0	0	0
"ENSG00000162385"	"MAGOH"	44	113	112	34	79	62
"ENSG00000275350"	"TUBB6P1"	1	0	3	0	0	2
"ENSG00000123080"	"CDKN2C"	3	6	15	4	6	6
"ENSG00000285778"	"NA"	9	12	5	3	0	5
"ENSG00000233407"	"NA"	2	1	4	1	6	5
"ENSG00000162598"	"C1orf87"	2	3	1	0	0	0
"ENSG00000280317"	"NA"	0	0	0	1	0	0
"ENSG00000162415"	"ZSWIM5"	115	154	297	150	165	165
"ENSG00000162600"	"OMA1"	59	90	147	39	41	89
"ENSG00000116704"	"SLC35D1"	155	228	399	96	174	159
"ENSG00000157193"	"LRP8"	1124	1030	1084	1588	1430	1097
"ENSG00000116205"	"TCEANC2"	88	209	258	66	112	159
"ENSG00000233994"	"GDI2P2"	24	44	60	3	5	36
"ENSG00000227556"	"NA"	0	0	0	0	0	0
"ENSG00000162607"	"USP1"	106	285	392	21	72	85
"ENSG00000285954"	"NA"	0	1	7	6	0	4
"ENSG00000233333"	"NA"	0	1	5	0	0	0
"ENSG00000154027"	"AK5"	1391	3436	1517	1256	1393	1019
"ENSG00000234108"	"NA"	0	0	0	0	0	0
"ENSG00000232676"	"ADH5P2"	0	1	1	0	0	0
"ENSG00000213579"	"NA"	5	12	19	5	3	9
"ENSG00000137960"	"GIPC2"	6	9	38	11	5	7
"ENSG00000237852"	"NA"	1	4	5	0	1	0
"ENSG00000132855"	"ANGPTL3"	23	75	105	2	27	23
"ENSG00000270549"	"NA"	1	12	3	3	0	7
"ENSG00000237163"	"NA"	0	0	0	0	0	0
"ENSG00000229636"	"KRT8P21"	0	1	0	0	0	0
"ENSG00000116675"	"DNAJC6"	1064	2882	2251	697	828	935
"ENSG00000162433"	"AK4"	140	282	182	45	60	47
"ENSG00000213625"	"LEPROT"	75	119	273	41	76	98
"ENSG00000233664"	"NA"	2	0	1	1	4	0
"ENSG00000158966"	"CACHD1"	131	332	198	110	250	163
"ENSG00000213703"	"NA"	24	34	40	20	25	20
"ENSG00000233674"	"NA"	15	22	24	6	20	19
"ENSG00000153898"	"MCOLN2"	1	0	15	0	1	0
"ENSG00000117069"	"ST6GALNAC5"	418	789	652	167	250	404
"ENSG00000125703"	"ATG4C"	141	293	354	40	107	195
"ENSG00000234144"	"COX6CP13"	18	20	24	1	6	23
"ENSG00000277670"	"NA"	0	0	0	0	0	0
"ENSG00000227466"	"PDE4B-AS1"	44	39	39	24	60	72
"ENSG00000230498"	"NA"	65	95	144	24	72	193
"ENSG00000162618"	"ADGRL4"	2	3	20	0	5	23
"ENSG00000224493"	"NA"	16	22	43	2	11	35
"ENSG00000131233"	"GJA9"	0	3	1	3	3	11
"ENSG00000229225"	"NA"	0	0	0	0	0	0
"ENSG00000225598"	"NA"	0	0	0	0	0	0
"ENSG00000137941"	"TTLL7"	1332	2778	2855	903	1652	1845
"ENSG00000286548"	"NA"	44	41	84	91	64	47
"ENSG00000066135"	"KDM4A"	164	306	386	469	550	341
"ENSG00000272094"	"NA"	2	0	1	0	3	5
"ENSG00000228853"	"NEGR1-IT1"	21	19	16	1	5	19
"ENSG00000284895"	"LOC128125817"	0	0	0	0	0	0
"ENSG00000117174"	"ZNHIT6"	211	465	542	147	289	297
"ENSG00000184313"	"MROH7"	52	119	91	95	134	37
"ENSG00000288543"	"NA"	21	57	55	8	25	61
"ENSG00000122420"	"PTGFR"	10	15	25	3	1	2
"ENSG00000143013"	"LMO4"	688	1345	899	351	473	533
"ENSG00000226084"	"RPL17P6"	1	2	5	0	1	2
"ENSG00000134748"	"PRPF38A"	294	439	643	204	225	330
"ENSG00000142892"	"PIGK"	127	301	351	44	103	172
"ENSG00000229332"	"NA"	0	0	0	0	0	0
"ENSG00000227937"	"MTND2P30"	0	0	0	0	0	0
"ENSG00000229752"	"RPL7P10"	0	0	0	0	0	0
"ENSG00000233216"	"NA"	4	10	12	12	11	4
"ENSG00000197273"	"GUCA2A"	0	0	0	0	0	0
"ENSG00000226804"	"NA"	0	0	0	0	0	0
"ENSG00000230728"	"NA"	7	28	8	11	2	1
"ENSG00000232846"	"SLC25A6P3"	3	9	5	1	2	1
"ENSG00000230787"	"PSAT1P3"	0	0	0	1	0	3
"ENSG00000116641"	"DOCK7"	757	1239	1653	755	910	961
"ENSG00000172260"	"NEGR1"	810	2374	2306	220	444	897
"ENSG00000285473"	"NA"	5	2	0	0	3	0
"ENSG00000234578"	"NA"	0	0	0	0	0	0
"ENSG00000229505"	"NA"	4	7	3	0	13	9
"ENSG00000228187"	"LOC100421400"	7	6	1	2	4	3
"ENSG00000182183"	"SHISAL2A"	7	4	8	3	2	0
"ENSG00000236407"	"NA"	0	0	0	0	4	0
"ENSG00000271949"	"NA"	0	0	0	0	0	0
"ENSG00000227062"	"NA"	0	0	0	0	0	0
"ENSG00000067334"	"DNTTIP2"	205	436	522	52	267	239
"ENSG00000235011"	"NA"	0	0	0	0	0	0
"ENSG00000213559"	"HNRNPA1P64"	0	0	0	0	0	0
"ENSG00000287587"	"NA"	0	1	1	0	1	2
"ENSG00000142949"	"PTPRF"	720	1320	661	1441	1920	731
"ENSG00000232882"	"NA"	9	11	10	6	3	3
"ENSG00000171502"	"COL24A1"	1249	2004	818	2296	1861	1328
"ENSG00000116157"	"GPX7"	9	15	37	11	21	19
"ENSG00000143036"	"SLC44A3"	16	14	14	5	13	18
"ENSG00000065243"	"PKN2"	404	671	1142	227	532	596
"ENSG00000226960"	"MTCO1P21"	4	1	3	0	6	3
"ENSG00000234080"	"RPS2P11"	0	0	2	1	0	0
"ENSG00000285409"	"NA"	1	1	0	0	0	0
"ENSG00000117528"	"ABCD3"	137	287	476	121	135	179
"ENSG00000271723"	"MROH7-TTC4"	1	1	2	0	2	6
"ENSG00000036549"	"ZZZ3"	562	1024	1449	289	723	753
"ENSG00000225191"	"LOC100131348"	1	0	0	0	0	0
"ENSG00000287870"	"NA"	7	59	37	0	11	54
"ENSG00000232048"	"HNRNPCP9"	0	1	2	0	0	0
"ENSG00000232857"	"NA"	0	1	1	0	1	0
"ENSG00000273637"	"NA"	0	0	0	0	0	0
"ENSG00000228838"	"NA"	5	7	5	11	14	5
"ENSG00000283761"	"NA"	2	11	32	11	28	10
"ENSG00000189433"	"GJB4"	3	8	10	2	7	2
"ENSG00000142700"	"DMRTA2"	1	7	6	6	6	0
"ENSG00000233514"	"NA"	1	0	1	0	0	1
"ENSG00000127124"	"HIVEP3"	685	1097	933	1283	1381	798
"ENSG00000266993"	"NA"	12	12	27	2	24	14
"ENSG00000229316"	"NA"	1	0	5	2	0	3
"ENSG00000234099"	"NA"	0	2	8	0	12	2
"ENSG00000137936"	"BCAR3"	46	87	157	66	74	45
"ENSG00000232752"	"MTCO3P21"	1	2	2	0	0	0
"ENSG00000235829"	"NA"	19	24	74	23	22	26
"ENSG00000143032"	"BARHL2"	0	0	0	0	0	0
"ENSG00000280040"	"NA"	2	2	3	1	1	0
"ENSG00000117519"	"CNN3"	115	295	216	44	111	98
"ENSG00000238037"	"OOSP1P1"	0	0	0	0	0	0
"ENSG00000134215"	"VAV3"	63	78	237	71	56	223
"ENSG00000227935"	"NA"	25	38	64	11	20	15
"ENSG00000228502"	"NA"	0	1	1	5	2	0
"ENSG00000271277"	"NA"	26	28	13	1	8	47
"ENSG00000236888"	"NA"	24	25	44	12	45	14
"ENSG00000230828"	"NA"	8	13	24	2	2	12
"ENSG00000152078"	"TLCD4"	138	522	613	21	82	106
"ENSG00000171492"	"LRRC8D"	116	190	419	79	113	107
"ENSG00000233129"	"NA"	0	4	2	0	2	0
"ENSG00000170989"	"S1PR1"	5	5	11	0	4	5
"ENSG00000237897"	"NA"	0	0	3	0	0	0
"ENSG00000116299"	"ELAPOR1"	429	751	824	670	844	622
"ENSG00000137962"	"ARHGAP29"	228	359	775	93	104	203
"ENSG00000286692"	"NA"	0	1	0	0	0	0
"ENSG00000260464"	"NA"	25	44	95	19	16	21
"ENSG00000231996"	"NA"	0	2	0	0	4	1
"ENSG00000117154"	"IGSF21"	319	429	267	656	358	388
"ENSG00000162377"	"COA7"	70	193	151	34	19	29
"ENSG00000116774"	"OLFML3"	8	4	5	2	20	10
"ENSG00000287756"	"NA"	53	79	128	92	114	125
"ENSG00000284652"	"NA"	0	0	1	8	0	0
"ENSG00000023909"	"GCLM"	52	146	265	19	82	76
"ENSG00000069702"	"TGFBR3"	51	113	148	58	55	52
"ENSG00000228399"	"RPS20P6"	0	0	0	0	0	0
"ENSG00000236776"	"RPL21P23"	3	0	1	0	0	0
"ENSG00000271252"	"NA"	0	0	0	0	0	0
"ENSG00000235794"	"MTND3P21"	1	0	4	0	6	6
"ENSG00000233983"	"LOC124904580"	0	0	0	0	0	0
"ENSG00000198198"	"SZT2"	903	1135	1960	2241	2148	1470
"ENSG00000116793"	"PHTF1"	764	998	1240	748	1076	955
"ENSG00000232918"	"RPL21P26"	0	0	0	0	0	0
"ENSG00000183298"	"RPSAP19"	0	0	5	0	2	1
"ENSG00000117525"	"F3"	22	13	102	8	26	6
"ENSG00000162699"	"NA"	24	46	51	5	14	34
"ENSG00000203914"	"HSP90B3P"	0	0	4	0	0	1
"ENSG00000270457"	"NA"	11	6	9	1	10	17
"ENSG00000231987"	"LINC01787"	0	0	0	0	0	0
"ENSG00000229842"	"MTATP6P13"	0	0	2	0	0	0
"ENSG00000198162"	"MAN1A2"	1246	2460	3514	762	1310	1486
"ENSG00000171517"	"LPAR3"	0	1	1	0	0	0
"ENSG00000203864"	"LINC02868"	0	0	0	0	0	0
"ENSG00000233482"	"NA"	0	0	0	0	5	0
"ENSG00000143079"	"CTTNBP2NL"	213	423	520	162	240	263
"ENSG00000232450"	"RPS2P14"	10	25	34	18	24	30
"ENSG00000235038"	"NA"	56	56	75	46	89	55
"ENSG00000173947"	"CIMAP3"	3	9	24	7	13	3
"ENSG00000134198"	"TSPAN2"	4	11	26	7	9	8
"ENSG00000279513"	"NA"	18	21	91	7	24	27
"ENSG00000117620"	"SLC35A3"	200	346	851	78	168	395
"ENSG00000162688"	"AGL"	307	311	840	196	357	454
"ENSG00000197106"	"SLC6A17"	586	1202	1060	634	641	456
"ENSG00000231072"	"NA"	0	0	0	0	0	0
"ENSG00000185946"	"RNPC3"	1197	1594	2795	1062	1535	1662
"ENSG00000162627"	"SNX7"	157	260	152	161	135	101
"ENSG00000265808"	"SEC22B"	149	255	341	51	58	117
"ENSG00000225923"	"LOC101060164"	0	0	0	0	0	0
"ENSG00000134247"	"PTGFRN"	144	314	354	91	166	165
"ENSG00000162664"	"ZNF326"	868	843	1389	543	664	906
"ENSG00000134253"	"TRIM45"	69	78	198	107	125	111
"ENSG00000223416"	"NA"	17	28	25	16	48	18
"ENSG00000179571"	"NBPF17P"	0	1	9	0	0	0
"ENSG00000227850"	"SEPTIN2P1"	0	0	0	0	0	0
"ENSG00000285532"	"LINC02788"	15	18	34	0	6	38
"ENSG00000226755"	"NA"	0	0	1	4	0	0
"ENSG00000183508"	"TENT5C"	2	7	6	4	2	0
"ENSG00000277095"	"NA"	0	3	6	4	1	4
"ENSG00000264145"	"NA"	0	0	0	0	0	0
"ENSG00000238256"	"MTND5P20"	0	3	7	0	0	8
"ENSG00000198765"	"SYCP1"	0	0	0	0	0	0
"ENSG00000143398"	"PIP5K1A"	459	716	1035	545	911	692
"ENSG00000196505"	"GDAP2"	274	424	889	160	258	338
"ENSG00000223489"	"NEFHP1"	0	2	2	0	0	0
"ENSG00000230546"	"NA"	46	18	27	10	36	26
"ENSG00000213262"	"NA"	0	1	0	0	0	0
"ENSG00000287015"	"NA"	0	3	0	0	0	0
"ENSG00000235526"	"NA"	22	21	46	11	43	41
"ENSG00000228347"	"NA"	1	0	1	0	0	0
"ENSG00000236012"	"NA"	1	0	0	0	0	0
"ENSG00000134200"	"TSHB"	1	4	1	0	0	0
"ENSG00000065183"	"WDR3"	215	307	516	165	285	258
"ENSG00000226126"	"PSMC1P12"	0	0	2	1	0	0
"ENSG00000163156"	"SCNM1"	32	46	97	48	48	64
"ENSG00000228453"	"NA"	0	0	1	0	1	1
"ENSG00000261168"	"NA"	3	10	26	11	9	14
"ENSG00000233432"	"MTIF2P1"	3	2	1	0	2	0
"ENSG00000229911"	"NA"	0	0	0	0	0	0
"ENSG00000171943"	"SRGAP2C"	68	128	100	95	74	75
"ENSG00000270719"	"NA"	0	0	0	0	0	0
"ENSG00000155761"	"SPAG17"	34	84	46	37	63	31
"ENSG00000116830"	"TTF2"	149	201	226	93	197	203
"ENSG00000234422"	"UBE2WP1"	0	0	0	0	0	0
"ENSG00000227091"	"SLC6A17-AS1"	52	61	68	62	132	66
"ENSG00000081026"	"MAGI3"	578	1215	1859	482	611	815
"ENSG00000143458"	"GABPB2"	169	345	522	273	378	488
"ENSG00000230932"	"NA"	0	0	0	0	0	0
"ENSG00000225036"	"CDK4P1"	0	0	0	0	0	0
"ENSG00000250890"	"NA"	0	0	1	0	0	0
"ENSG00000232240"	"NA"	0	0	0	0	0	0
"ENSG00000234388"	"NA"	0	0	0	0	0	0
"ENSG00000233717"	"NA"	1	2	2	2	0	0
"ENSG00000163155"	"LYSMD1"	62	135	159	73	55	69
"ENSG00000241975"	"NA"	0	5	17	1	1	9
"ENSG00000270976"	"NA"	0	0	0	0	0	0
"ENSG00000228217"	"NA"	0	2	0	0	0	0
"ENSG00000270342"	"NA"	0	0	0	0	0	0
"ENSG00000116824"	"CD2"	0	0	0	0	0	2
"ENSG00000235887"	"NA"	0	0	0	0	0	0
"ENSG00000235756"	"NA"	0	0	0	0	0	0
"ENSG00000173810"	"NA"	0	0	0	0	0	0
"ENSG00000271890"	"NA"	0	0	0	0	0	0
"ENSG00000283360"	"NA"	3	2	18	3	11	5
"ENSG00000117262"	"GPR89B"	56	79	108	46	75	66
"ENSG00000227970"	"NR1H5P"	0	0	0	0	0	0
"ENSG00000231613"	"NA"	1	2	12	1	9	5
"ENSG00000236689"	"MTCO2P21"	0	1	1	0	0	0
"ENSG00000226028"	"NA"	0	0	0	0	0	0
"ENSG00000203825"	"NA"	0	1	1	1	0	0
"ENSG00000184371"	"CSF1"	8	8	55	11	21	13
"ENSG00000233449"	"MTATP6P14"	0	0	0	0	0	0
"ENSG00000242943"	"NA"	0	0	0	0	0	0
"ENSG00000232499"	"LOC100421402"	48	79	90	9	26	59
"ENSG00000163154"	"TNFAIP8L2"	6	11	21	15	23	8
"ENSG00000232995"	"LOC127814295"	28	32	37	1	13	28
"ENSG00000238087"	"FMO8P"	0	0	1	0	0	0
"ENSG00000143158"	"MPC2"	66	189	220	20	30	68
"ENSG00000271092"	"TLCD4-RWDD3"	1	6	11	1	1	6
"ENSG00000232148"	"FMO11P"	0	3	0	0	0	0
"ENSG00000000460"	"FIRRM"	26	51	173	27	27	60
"ENSG00000135862"	"LAMC1"	205	389	522	254	438	413
"ENSG00000232952"	"LOC401957"	3	3	9	2	0	1
"ENSG00000260322"	"NA"	7	4	0	1	0	0
"ENSG00000143156"	"NME7"	241	284	504	108	289	281
"ENSG00000198771"	"RCSD1"	63	35	50	38	80	85
"ENSG00000225462"	"FDPSP1"	0	0	0	0	0	0
"ENSG00000237756"	"NA"	2	0	1	0	0	11
"ENSG00000271187"	"NA"	4	4	20	7	0	20
"ENSG00000231175"	"LINC01720"	0	0	8	0	0	1
"ENSG00000143185"	"XCL2"	0	0	0	0	0	0
"ENSG00000272931"	"NA"	1	1	7	1	0	0
"ENSG00000143190"	"POU2F1"	749	909	1684	681	930	933
"ENSG00000225475"	"NA"	0	1	1	0	1	1
"ENSG00000232223"	"CNN2P10"	0	0	0	0	0	0
"ENSG00000224468"	"LAMC1-AS1"	5	2	16	3	6	3
"ENSG00000232551"	"MTCO1P14"	0	0	0	0	0	0
"ENSG00000238270"	"NA"	0	0	0	0	0	0
"ENSG00000236025"	"NA"	0	0	2	1	0	0
"ENSG00000230704"	"LOC101928628"	0	1	8	0	1	0
"ENSG00000286754"	"NA"	7	1	14	0	2	9
"ENSG00000143171"	"RXRG"	14	10	27	5	10	0
"ENSG00000275767"	"NA"	0	0	1	0	0	0
"ENSG00000047410"	"TPR"	1012	2500	2491	848	1335	1527
"ENSG00000171806"	"METTL18"	12	12	18	1	4	10
"ENSG00000134216"	"CHIA"	0	0	1	0	0	0
"ENSG00000230748"	"PRELID1P7"	0	0	0	0	2	0
"ENSG00000238108"	"NA"	0	0	0	0	0	0
"ENSG00000135842"	"NIBAN1"	21	43	47	31	23	1
"ENSG00000287472"	"NA"	0	0	0	0	0	0
"ENSG00000241318"	"NA"	0	0	1	2	0	0
"ENSG00000228238"	"NA"	26	36	58	12	27	29
"ENSG00000232393"	"RPL5P6"	0	0	0	0	0	0
"ENSG00000184155"	"OR10J5"	0	0	0	0	0	0
"ENSG00000058085"	"LAMC2"	10	28	37	22	31	16
"ENSG00000232917"	"NA"	1	1	0	0	0	0
"ENSG00000233057"	"EEF1A1P14"	1	6	2	1	0	2
"ENSG00000143167"	"GPA33"	0	0	0	1	2	3
"ENSG00000143184"	"XCL1"	0	1	0	0	0	0
"ENSG00000224691"	"NA"	0	0	1	0	0	0
"ENSG00000233626"	"NA"	3	3	7	0	0	2
"ENSG00000143228"	"NUF2"	3	10	29	7	23	19
"ENSG00000231714"	"NA"	0	0	0	0	0	0
"ENSG00000116833"	"NR5A2"	1	3	10	2	1	3
"ENSG00000000457"	"SCYL3"	159	123	322	175	158	198
"ENSG00000285638"	"NA"	0	1	19	1	1	15
"ENSG00000230987"	"LOC647132"	0	4	4	3	0	3
"ENSG00000228167"	"NA"	6	0	0	0	0	0
"ENSG00000150732"	"NA"	0	0	0	0	0	0
"ENSG00000157064"	"NMNAT2"	1301	2856	2567	625	779	1051
"ENSG00000288139"	"NA"	1	2	5	0	4	3
"ENSG00000059588"	"TARBP1"	1906	1311	4516	3434	2814	2993
"ENSG00000162782"	"TDRD5"	20	82	45	38	67	69
"ENSG00000238051"	"ISCUP1"	0	0	0	0	0	0
